Transaction Date,Service Period Start Date,Service Period End Date,Description,Payment Type,Mop Last 4,Mop Creation Date,Mop Pmt Processor Desc,Item Price Amt,Currency,Tax Amt,Gross Sale Amt,Pmt Txn Type,Pmt Status,Final Invoice Result,Country,Next Billing Date
2022-09-15,,,payment_transaction,CC,6709,,,,BRL,,39.9,SALE,APPROVED,,BR,
2022-09-15,,,payment_transaction,CC,6709,,,,BRL,,39.9,SALE,NEW,,BR,
2022-08-15,,,payment_transaction,CC,6709,,,,BRL,,39.9,SALE,APPROVED,,BR,
2022-08-15,,,payment_transaction,CC,6709,,,,BRL,,39.9,SALE,NEW,,BR,
2022-08-15,2022-08-15,2022-09-14,SUBSCRIPTION,VISA,6709,,ADYEN,39.9,BRL,4.42,39.9,SALE,APPROVED,SETTLED,BR,2022-09-15
2022-08-15,2022-08-15,2022-09-14,SUBSCRIPTION,VISA,6709,,ADYEN,39.9,BRL,4.42,39.9,SALE,NEW,SETTLED,BR,2022-09-15
2022-07-15,2022-07-15,2022-08-14,SUBSCRIPTION,VISA,6709,,ADYEN,39.9,BRL,4.42,39.9,SALE,NEW,SETTLED,BR,2022-08-15
2022-07-15,,,payment_transaction,CC,6709,,,,BRL,,39.9,SALE,APPROVED,,BR,
2022-07-15,2022-07-15,2022-08-14,SUBSCRIPTION,VISA,6709,,ADYEN,39.9,BRL,4.42,39.9,SALE,APPROVED,SETTLED,BR,2022-08-15
2022-07-15,,,payment_transaction,CC,6709,,,,BRL,,39.9,SALE,NEW,,BR,
2022-06-15,,,payment_transaction,CC,6709,,,,BRL,,39.9,SALE,APPROVED,,BR,
2022-06-15,,,payment_transaction,CC,6709,,,,BRL,,39.9,SALE,NEW,,BR,
2022-06-15,2022-06-15,2022-07-14,SUBSCRIPTION,VISA,6709,,ADYEN,39.9,BRL,4.42,39.9,SALE,APPROVED,SETTLED,BR,2022-07-15
2022-06-15,2022-06-15,2022-07-14,SUBSCRIPTION,VISA,6709,,ADYEN,39.9,BRL,4.42,39.9,SALE,NEW,SETTLED,BR,2022-07-15
2022-05-15,2022-05-15,2022-06-14,SUBSCRIPTION,VISA,6709,,ADYEN,39.9,BRL,4.42,39.9,SALE,NEW,SETTLED,BR,2022-06-15
2022-05-15,,,payment_transaction,CC,6709,,,,BRL,,39.9,SALE,APPROVED,,BR,
2022-05-15,,,payment_transaction,CC,6709,,,,BRL,,39.9,SALE,NEW,,BR,
2022-05-15,2022-05-15,2022-06-14,SUBSCRIPTION,VISA,6709,,ADYEN,39.9,BRL,4.42,39.9,SALE,APPROVED,SETTLED,BR,2022-06-15
2022-04-15,2022-04-15,2022-05-14,SUBSCRIPTION,VISA,6709,,ADYEN,39.9,BRL,4.49,39.9,SALE,APPROVED,SETTLED,BR,2022-05-15
2022-04-15,,,payment_transaction,CC,6709,,,,BRL,,39.9,SALE,APPROVED,,BR,
2022-04-15,,,payment_transaction,CC,6709,,,,BRL,,39.9,SALE,NEW,,BR,
2022-04-15,2022-04-15,2022-05-14,SUBSCRIPTION,VISA,6709,,ADYEN,39.9,BRL,4.49,39.9,SALE,NEW,SETTLED,BR,2022-05-15
2022-03-15,,,payment_transaction,CC,6709,,,,BRL,,39.9,SALE,NEW,,BR,
2022-03-15,2022-03-15,2022-04-14,SUBSCRIPTION,VISA,6709,,ADYEN,39.9,BRL,4.49,39.9,SALE,APPROVED,SETTLED,BR,2022-04-15
2022-03-15,2022-03-15,2022-04-14,SUBSCRIPTION,VISA,6709,,ADYEN,39.9,BRL,4.49,39.9,SALE,NEW,SETTLED,BR,2022-04-15
2022-03-15,,,payment_transaction,CC,6709,,,,BRL,,39.9,SALE,APPROVED,,BR,
2022-02-15,,,payment_transaction,CC,6709,,,,BRL,,39.9,SALE,NEW,,BR,
2022-02-15,2022-02-15,2022-03-14,SUBSCRIPTION,VISA,6709,,ADYEN,39.9,BRL,4.49,39.9,SALE,APPROVED,SETTLED,BR,2022-03-15
2022-02-15,2022-02-15,2022-03-14,SUBSCRIPTION,VISA,6709,,ADYEN,39.9,BRL,4.49,39.9,SALE,NEW,SETTLED,BR,2022-03-15
2022-02-15,,,payment_transaction,CC,6709,,,,BRL,,39.9,SALE,APPROVED,,BR,
2022-01-15,2022-01-15,2022-02-14,SUBSCRIPTION,VISA,6709,,ADYEN,39.9,BRL,4.49,39.9,SALE,APPROVED,SETTLED,BR,2022-02-15
2022-01-15,2022-01-15,2022-02-14,SUBSCRIPTION,VISA,6709,,ADYEN,39.9,BRL,4.49,39.9,SALE,NEW,SETTLED,BR,2022-02-15
2022-01-15,,,payment_transaction,CC,6709,,,,BRL,,39.9,SALE,APPROVED,,BR,
2022-01-15,,,payment_transaction,CC,6709,,,,BRL,,39.9,SALE,NEW,,BR,
2021-12-15,2021-12-15,2022-01-14,SUBSCRIPTION,VISA,6709,,ADYEN,39.9,BRL,4.49,39.9,SALE,APPROVED,SETTLED,BR,2022-01-15
2021-12-15,,,payment_transaction,CC,6709,,,,BRL,,39.9,SALE,NEW,,BR,
2021-12-15,,,payment_transaction,CC,6709,,,,BRL,,39.9,SALE,APPROVED,,BR,
2021-12-15,2021-12-15,2022-01-14,SUBSCRIPTION,VISA,6709,,ADYEN,39.9,BRL,4.49,39.9,SALE,NEW,SETTLED,BR,2022-01-15
2021-11-15,,,payment_transaction,CC,6709,,,,BRL,,39.9,SALE,NEW,,BR,
2021-11-15,2021-11-15,2021-12-14,SUBSCRIPTION,VISA,6709,,ADYEN,39.9,BRL,4.49,39.9,SALE,APPROVED,SETTLED,BR,2021-12-15
2021-11-15,,,payment_transaction,CC,6709,,,,BRL,,39.9,SALE,APPROVED,,BR,
2021-11-15,2021-11-15,2021-12-14,SUBSCRIPTION,VISA,6709,,ADYEN,39.9,BRL,4.49,39.9,SALE,NEW,SETTLED,BR,2021-12-15
2021-10-15,2021-10-15,2021-11-14,SUBSCRIPTION,VISA,6709,,ADYEN,39.9,BRL,4.49,39.9,SALE,APPROVED,SETTLED,BR,2021-11-15
2021-10-15,2021-10-15,2021-11-14,SUBSCRIPTION,VISA,6709,,ADYEN,39.9,BRL,4.49,39.9,SALE,NEW,SETTLED,BR,2021-11-15
2021-10-15,,,payment_transaction,CC,6709,,,,BRL,,39.9,SALE,NEW,,BR,
2021-10-15,,,payment_transaction,CC,6709,,,,BRL,,39.9,SALE,APPROVED,,BR,
2021-09-15,,,payment_transaction,CC,6709,,,,BRL,,39.9,SALE,NEW,,BR,
2021-09-15,2021-09-15,2021-10-14,SUBSCRIPTION,VISA,6709,,ADYEN,39.9,BRL,4.49,39.9,SALE,NEW,SETTLED,BR,2021-10-15
2021-09-15,2021-09-15,2021-10-14,SUBSCRIPTION,VISA,6709,,ADYEN,39.9,BRL,4.49,39.9,SALE,APPROVED,SETTLED,BR,2021-10-15
2021-09-15,,,payment_transaction,CC,6709,,,,BRL,,39.9,SALE,APPROVED,,BR,
2021-08-15,2021-08-15,2021-09-14,SUBSCRIPTION,VISA,6709,,ADYEN,45.9,BRL,5.16,45.9,SALE,APPROVED,SETTLED,BR,2021-09-15
2021-08-15,,,payment_transaction,CC,6709,,,,BRL,,45.9,SALE,APPROVED,,BR,
2021-08-15,2021-08-15,2021-09-14,SUBSCRIPTION,VISA,6709,,ADYEN,45.9,BRL,5.16,45.9,SALE,NEW,SETTLED,BR,2021-09-15
2021-08-15,,,payment_transaction,CC,6709,,,,BRL,,45.9,SALE,NEW,,BR,
2021-07-15,2021-07-15,2021-08-14,SUBSCRIPTION,VISA,6709,,ADYEN,45.9,BRL,5.16,45.9,SALE,APPROVED,SETTLED,BR,2021-08-15
2021-07-15,,,payment_transaction,CC,6709,,,,BRL,,45.9,SALE,APPROVED,,BR,
2021-07-15,2021-07-15,2021-08-14,SUBSCRIPTION,VISA,6709,,ADYEN,45.9,BRL,5.16,45.9,SALE,NEW,SETTLED,BR,2021-08-15
2021-07-15,,,payment_transaction,CC,6709,,,,BRL,,45.9,SALE,NEW,,BR,
2021-06-15,2021-06-15,2021-07-14,SUBSCRIPTION,VISA,6709,,ADYEN,45.9,BRL,5.16,45.9,SALE,APPROVED,SETTLED,BR,2021-07-15
2021-06-15,2021-06-15,2021-07-14,SUBSCRIPTION,VISA,6709,,ADYEN,45.9,BRL,5.16,45.9,SALE,NEW,SETTLED,BR,2021-07-15
2021-06-15,,,payment_transaction,CC,6709,,,,BRL,,45.9,SALE,NEW,,BR,
2021-06-15,,,payment_transaction,CC,6709,,,,BRL,,45.9,SALE,APPROVED,,BR,
2021-05-15,,,payment_transaction,CC,6709,,,,BRL,,45.9,SALE,DECLINED,,BR,
2021-05-15,2021-05-15,2021-06-14,SUBSCRIPTION,VISA,6709,,ADYEN,45.9,BRL,5.16,45.9,SALE,DECLINED,RECOVERY,BR,2021-06-15
2021-05-15,2021-05-15,2021-06-14,SUBSCRIPTION,VISA,6709,,ADYEN,45.9,BRL,5.16,45.9,SALE,APPROVED,RECOVERY,BR,2021-06-15
2021-05-15,,,payment_transaction,CC,6709,,,,BRL,,45.9,SALE,APPROVED,,BR,
2021-05-14,,,payment_transaction,CC,6709,,,,BRL,,45.9,SALE,DECLINED,,BR,
2021-05-12,,,payment_transaction,CC,6709,,,,BRL,,45.9,SALE,DECLINED,,BR,
2021-05-10,,,payment_transaction,CC,6709,,,,BRL,,45.9,SALE,DECLINED,,BR,
2021-05-08,,,payment_transaction,CC,6709,,,,BRL,,45.9,SALE,DECLINED,,BR,
2021-05-08,2021-05-08,2021-06-07,SUBSCRIPTION,VISA,6709,,CIELO,45.9,BRL,5.16,45.9,SALE,APPROVED,REVERSAL,BR,2021-06-08
2021-05-08,2021-05-08,2021-06-07,SUBSCRIPTION,VISA,6709,,CIELO,45.9,BRL,5.16,45.9,SALE,DECLINED,REVERSAL,BR,2021-06-08
2021-04-08,2021-04-08,2021-05-07,SUBSCRIPTION,VISA,6709,,ADYEN,45.9,BRL,5.16,45.9,SALE,APPROVED,SETTLED,BR,2021-05-08
2021-04-08,,,payment_transaction,CC,6709,,,,BRL,,45.9,SALE,APPROVED,,BR,
2021-03-08,,,payment_transaction,CC,6709,,,,BRL,,45.9,SALE,APPROVED,,BR,
2021-03-08,2021-03-08,2021-04-07,SUBSCRIPTION,VISA,6709,,ADYEN,45.9,BRL,5.16,45.9,SALE,APPROVED,SETTLED,BR,2021-04-08
2021-02-08,2021-02-08,2021-03-07,SUBSCRIPTION,VISA,6709,,ADYEN,45.9,BRL,5.16,45.9,SALE,APPROVED,SETTLED,BR,2021-03-08
2021-02-08,,,payment_transaction,CC,6709,,,,BRL,,45.9,SALE,APPROVED,,BR,
2021-01-08,2021-01-08,2021-02-07,SUBSCRIPTION,VISA,6709,,ADYEN,45.9,BRL,5.16,45.9,SALE,APPROVED,SETTLED,BR,2021-02-08
2021-01-08,,,payment_transaction,CC,6709,,,,BRL,,45.9,SALE,APPROVED,,BR,
2020-12-08,2020-12-08,2021-01-07,SUBSCRIPTION,VISA,6709,,ADYEN,45.9,BRL,5.16,45.9,SALE,APPROVED,SETTLED,BR,2021-01-08
2020-12-08,,,payment_transaction,CC,6709,,,,BRL,,45.9,SALE,APPROVED,,BR,
2020-11-08,2020-11-08,2020-12-07,SUBSCRIPTION,VISA,6709,,ADYEN,45.9,BRL,5.16,45.9,SALE,APPROVED,SETTLED,BR,2020-12-08
2020-11-08,,,payment_transaction,CC,6709,,,,BRL,,45.9,SALE,APPROVED,,BR,
2020-10-08,2020-10-08,2020-11-07,SUBSCRIPTION,VISA,6709,,ADYEN,45.9,BRL,5.16,45.9,SALE,APPROVED,SETTLED,BR,2020-11-08
2020-10-08,,,payment_transaction,CC,6709,,,,BRL,,45.9,SALE,APPROVED,,BR,
2020-09-08,2020-09-08,2020-10-07,SUBSCRIPTION,VISA,6709,,ADYEN,45.9,BRL,5.16,45.9,SALE,APPROVED,SETTLED,BR,2020-10-08
2020-09-08,,,payment_transaction,CC,6709,,,,BRL,,45.9,SALE,APPROVED,,BR,
2020-08-08,2020-08-08,2020-09-07,SUBSCRIPTION,VISA,6709,,ADYEN,45.9,BRL,5.16,45.9,SALE,APPROVED,SETTLED,BR,2020-09-08
2020-08-08,,,payment_transaction,CC,6709,,,,BRL,,45.9,SALE,APPROVED,,BR,
2020-07-08,,,payment_transaction,CC,6709,,,,BRL,,45.9,SALE,APPROVED,,BR,
2020-07-08,2020-07-08,2020-08-07,SUBSCRIPTION,VISA,6709,,ADYEN,45.9,BRL,5.16,45.9,SALE,APPROVED,SETTLED,BR,2020-08-08
2020-06-08,2020-06-08,2020-07-07,SUBSCRIPTION,VISA,6709,,ADYEN,45.9,BRL,5.16,45.9,SALE,APPROVED,SETTLED,BR,2020-07-08
2020-06-08,,,payment_transaction,CC,6709,,,,BRL,,45.9,SALE,APPROVED,,BR,
2020-05-08,2020-05-08,2020-06-07,SUBSCRIPTION,VISA,6709,,CIELO,45.9,BRL,5.16,45.9,SALE,APPROVED,SETTLED,BR,2020-06-08
2020-05-08,,,payment_transaction,CC,6709,,,,BRL,,45.9,SALE,APPROVED,,BR,
2020-04-08,,,payment_transaction,CC,6709,,,,BRL,,45.9,SALE,APPROVED,,BR,
2020-04-08,2020-04-08,2020-05-07,SUBSCRIPTION,VISA,6709,,ADYEN,45.9,BRL,5.16,45.9,SALE,APPROVED,SETTLED,BR,2020-05-08
2020-03-08,2020-03-08,2020-04-07,SUBSCRIPTION,VISA,6709,,ADYEN,45.9,BRL,5.16,45.9,SALE,APPROVED,SETTLED,BR,2020-04-08
2020-03-08,,,payment_transaction,CC,6709,,,,BRL,,45.9,SALE,APPROVED,,BR,
2020-02-08,2020-02-08,2020-03-07,SUBSCRIPTION,VISA,6709,,ADYEN,45.9,BRL,5.16,45.9,SALE,APPROVED,SETTLED,BR,2020-03-08
2020-02-08,,,payment_transaction,CC,6709,,,,BRL,,45.9,SALE,APPROVED,,BR,
2020-01-08,,,payment_transaction,CC,6709,,,,BRL,,45.9,SALE,APPROVED,,BR,
2020-01-08,2020-01-08,2020-02-07,SUBSCRIPTION,VISA,6709,,ADYEN,45.9,BRL,5.16,45.9,SALE,APPROVED,SETTLED,BR,2020-02-08
2019-12-08,2019-12-08,2020-01-07,SUBSCRIPTION,VISA,6709,,ADYEN,45.9,BRL,5.16,45.9,SALE,APPROVED,SETTLED,BR,2020-01-08
2019-12-08,,,payment_transaction,CC,6709,,,,BRL,,45.9,SALE,APPROVED,,BR,
2019-11-08,2019-11-08,2019-12-07,SUBSCRIPTION,VISA,6709,,CIELO,45.9,BRL,5.16,45.9,SALE,APPROVED,SETTLED,BR,2019-12-08
2019-11-08,,,payment_transaction,CC,6709,,,,BRL,,45.9,SALE,APPROVED,,BR,
2019-10-08,2019-10-08,2019-11-07,SUBSCRIPTION,VISA,6709,,ADYEN,45.9,BRL,5.16,45.9,SALE,APPROVED,SETTLED,BR,2019-11-08
2019-10-08,,,payment_transaction,CC,6709,,,,BRL,,45.9,SALE,APPROVED,,BR,
2019-09-08,,,payment_transaction,CC,6709,,,,BRL,,45.9,SALE,APPROVED,,BR,
2019-09-08,2019-09-08,2019-10-07,SUBSCRIPTION,VISA,6709,,CIELO,45.9,BRL,5.16,45.9,SALE,APPROVED,SETTLED,BR,2019-10-08
2019-08-08,,,payment_transaction,CC,6709,,,,BRL,,45.9,SALE,APPROVED,,BR,
2019-08-08,2019-08-08,2019-09-07,SUBSCRIPTION,VISA,6709,,ADYEN,45.9,BRL,5.16,45.9,SALE,APPROVED,SETTLED,BR,2019-09-08
2019-07-08,2019-07-08,2019-08-07,SUBSCRIPTION,VISA,6709,,CIELO,45.9,BRL,5.16,45.9,SALE,APPROVED,SETTLED,BR,2019-08-08
2019-07-08,,,payment_transaction,CC,6709,,,,BRL,,45.9,SALE,APPROVED,,BR,
2019-06-08,2019-06-08,2019-07-07,SUBSCRIPTION,VISA,6709,,ADYEN,45.9,BRL,5.16,45.9,SALE,APPROVED,SETTLED,BR,2019-07-08
2019-06-08,,,payment_transaction,CC,6709,,,,BRL,,45.9,SALE,APPROVED,,BR,
2019-05-08,,,payment_transaction,CC,6709,,,,BRL,,45.9,SALE,APPROVED,,BR,
2019-05-08,2019-05-08,2019-06-07,SUBSCRIPTION,VISA,6709,,ADYEN,45.9,BRL,5.16,45.9,SALE,APPROVED,SETTLED,BR,2019-06-08
2019-04-08,,,payment_transaction,CC,,,,,BRL,,37.9,SALE,APPROVED,,BR,
2019-04-08,2019-04-08,2019-05-07,SUBSCRIPTION,VISA,6709,,ADYEN,37.9,BRL,4.26,37.9,SALE,APPROVED,SETTLED,BR,2019-05-08
2019-03-08,2019-03-08,2019-04-07,SUBSCRIPTION,VISA,6709,,ADYEN,37.9,BRL,4.26,37.9,SALE,APPROVED,SETTLED,BR,2019-04-08
2019-03-08,,,payment_transaction,CC,,,,,BRL,,37.9,SALE,APPROVED,,BR,
2019-02-08,,,payment_transaction,CC,,,,,BRL,,37.9,SALE,APPROVED,,BR,
2019-02-08,2019-02-08,2019-03-07,SUBSCRIPTION,VISA,6709,,ADYEN,37.9,BRL,4.26,37.9,SALE,APPROVED,SETTLED,BR,2019-03-08
2019-01-08,,,payment_transaction,CC,,,,,BRL,,37.9,SALE,APPROVED,,BR,
2019-01-08,2019-01-08,2019-02-07,SUBSCRIPTION,VISA,6709,,ADYEN,37.9,BRL,4.26,37.9,SALE,APPROVED,SETTLED,BR,2019-02-08
2018-12-08,,,payment_transaction,CC,,,,,BRL,,27.9,SALE,APPROVED,,BR,
2018-12-08,2018-12-08,2019-01-07,SUBSCRIPTION,VISA,6709,,ADYEN,27.9,BRL,3.14,27.9,SALE,APPROVED,SETTLED,BR,2019-01-08
2018-11-30,,,payment_transaction,CC,,,,,BRL,,1.0,VALIDATE,APPROVED,,BR,
2018-11-08,,,payment_transaction,CC,,,,,BRL,,27.9,SALE,APPROVED,,BR,
2018-11-08,2018-11-08,2018-12-07,SUBSCRIPTION,VISA,3662,,ADYEN,27.9,BRL,3.14,27.9,SALE,APPROVED,SETTLED,BR,2018-12-08
2018-10-08,2018-10-08,2018-11-07,SUBSCRIPTION,VISA,3662,,ADYEN,27.9,BRL,3.14,27.9,SALE,APPROVED,SETTLED,BR,2018-11-08
2018-10-08,,,payment_transaction,CC,,,,,BRL,,27.9,SALE,APPROVED,,BR,
2018-09-08,,,payment_transaction,CC,,,,,BRL,,27.9,SALE,APPROVED,,BR,
2018-09-08,2018-09-08,2018-10-07,SUBSCRIPTION,VISA,3662,,ADYEN,27.9,BRL,3.14,27.9,SALE,APPROVED,SETTLED,BR,2018-10-08
2018-08-08,2018-08-08,2018-09-07,SUBSCRIPTION,VISA,3662,,CIELO,27.9,BRL,3.14,27.9,SALE,APPROVED,SETTLED,BR,2018-09-08
2018-08-08,,,payment_transaction,CC,,,,,BRL,,27.9,SALE,APPROVED,,BR,
2018-07-08,2018-07-08,2018-08-07,SUBSCRIPTION,VISA,3662,,ADYEN,27.9,BRL,3.14,27.9,SALE,APPROVED,SETTLED,BR,2018-08-08
2018-07-08,,,payment_transaction,CC,,,,,BRL,,27.9,SALE,APPROVED,,BR,
2018-06-08,2018-06-08,2018-07-07,SUBSCRIPTION,VISA,3662,,CIELO,27.9,BRL,3.14,27.9,SALE,APPROVED,SETTLED,BR,2018-07-08
2018-06-08,,,payment_transaction,CC,,,,,BRL,,27.9,SALE,APPROVED,,BR,
2018-05-08,,,payment_transaction,CC,,,,,BRL,,27.9,SALE,APPROVED,,BR,
2018-05-08,2018-05-08,2018-06-07,SUBSCRIPTION,VISA,3662,,ADYEN,27.9,BRL,3.14,27.9,SALE,APPROVED,SETTLED,BR,2018-06-08
2018-04-08,,,payment_transaction,CC,,,,,BRL,,27.9,SALE,APPROVED,,BR,
2018-04-08,2018-04-08,2018-05-07,SUBSCRIPTION,VISA,3662,,CIELO,27.9,BRL,3.14,27.9,SALE,APPROVED,SETTLED,BR,2018-05-08
2018-03-08,2018-03-08,2018-04-07,SUBSCRIPTION,VISA,3662,,ADYEN,27.9,BRL,3.14,27.9,SALE,APPROVED,SETTLED,BR,2018-04-08
2018-03-08,,,payment_transaction,CC,,,,,BRL,,27.9,SALE,APPROVED,,BR,
2018-02-08,,,payment_transaction,CC,,,,,BRL,,27.9,SALE,APPROVED,,BR,
2018-02-08,2018-02-08,2018-03-07,SUBSCRIPTION,VISA,3662,,ADYEN,27.9,BRL,3.14,27.9,SALE,APPROVED,SETTLED,BR,2018-03-08
2018-01-08,2018-01-08,2018-02-07,SUBSCRIPTION,VISA,3662,,ADYEN,27.9,BRL,3.14,27.9,SALE,APPROVED,SETTLED,BR,2018-02-08
2018-01-08,,,payment_transaction,CC,,,,,BRL,,27.9,SALE,APPROVED,,BR,
2017-12-08,,,payment_transaction,CC,,,,,BRL,,27.9,SALE,APPROVED,,BR,
2017-12-08,2017-12-08,2018-01-07,SUBSCRIPTION,VISA,3662,,ADYEN,27.9,BRL,2.58,27.9,SALE,APPROVED,SETTLED,BR,2018-01-08
2017-11-08,2017-11-08,2017-12-07,SUBSCRIPTION,VISA,3662,,ADYEN,27.9,BRL,2.58,27.9,SALE,APPROVED,SETTLED,BR,2017-12-08
2017-11-08,,,payment_transaction,CC,,,,,BRL,,27.9,SALE,APPROVED,,BR,
2017-10-08,2017-10-08,2017-11-07,SUBSCRIPTION,VISA,3662,,ADYEN,27.9,BRL,2.58,27.9,SALE,APPROVED,SETTLED,BR,2017-11-08
2017-10-08,,,payment_transaction,CC,,,,,BRL,,27.9,SALE,APPROVED,,BR,
